时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),位移X(mm),位移Y(mm),位移Z(mm),速度X(mm/s),速度Y(mm/s),速度Z(mm/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3(),电量原始值(),电量(%)()
 16:30:12.554,WT901BLE67, 2026-04-25 16:26:30.925, 0.02, -0.027, 0.994, 0, 0, 0.122, , , , , , , -1.631, -1.154, -32.855, -4.807, 9.153, 18.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:12.681,WT901BLE67, 2026-04-25 16:26:30.925, 0.02, -0.027, 0.994, 0, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -6.207, 10.793, 19.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:12.743,WT901BLE67, 2026-04-25 16:26:31.340, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -6.207, 10.793, 19.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:12.868,WT901BLE67, 2026-04-25 16:26:31.340, 0.02, -0.028, 0.994, 0, 0, 0.122, , , , , , , -1.631, -1.154, -32.855, -6.207, 10.793, 19.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:12.947,WT901BLE67, 2026-04-25 16:26:31.340, 0.021, -0.028, 0.993, 0, 0, 0.122, , , , , , , -1.631, -1.154, -32.855, -6.207, 10.793, 19.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:13.073,WT901BLE67, 2026-04-25 16:26:31.340, 0.02, -0.028, 0.993, 0, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -7.107, 7.633, 20.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:13.167,WT901BLE67, 2026-04-25 16:26:31.340, 0.019, -0.028, 0.994, 0, 0, 0.122, , , , , , , -1.631, -1.154, -32.855, -7.107, 7.633, 20.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:13.278,WT901BLE67, 2026-04-25 16:26:31.340, 0.02, -0.027, 0.994, 0, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -7.107, 7.633, 20.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:13.374,WT901BLE67, 2026-04-25 16:26:31.910, 0.02, -0.027, 0.994, -0.061, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -7.107, 7.633, 20.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
 16:30:13.485,WT901BLE67, 2026-04-25 16:26:31.910, 0.021, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.631, -1.154, -32.855, -7.107, 7.633, 20.493, 31.37, 0.95892, -0.01651, -0.00562, -0.2829, 380, 55,
