PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2026-04-25 20:27:50.294	6	33.693	-39.260	-40.547	8.484	9.277	9.277	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.374	6	33.693	-39.260	-40.547	15.686	13.489	13.916	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.498	6	33.693	-39.260	-40.547	21.301	-3.479	13.184	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.591	6	33.693	-39.260	-40.547	52.49	6.958	8.911	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.701	6	33.693	-39.260	-40.547	78.857	7.996	16.174	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.791	6	33.693	-39.260	-40.547	78.857	7.996	16.174	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:50.931	6	24.107	-7.620	-58.253	100.22	8.118	19.897	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:51.183	6	21.900	-3.033	-58.160	90.21	-0.366	27.283	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:51.403	6	16.847	2.693	-58.520	61.89	-1.953	-11.414	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:51.575	6	6.147	10.367	-59.773	44.189	-0.366	-15.137	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:51.793	6	2.200	12.253	-59.947	52.917	10.376	12.634	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:52.029	6	-4.927	14.593	-60.087	15.686	1.953	3.601	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:52.203	6	-10.627	15.367	-59.873	-7.507	10.376	5.798	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:52.440	6	-15.740	15.440	-59.573	-19.409	8.362	-9.521	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:52.599	6	-16.453	15.240	-59.740	1.892	-4.456	-7.935	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:52.802	6	-17.100	14.800	-59.793	30.823	3.54	10.01	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:53.253	6	-18.413	14.500	-59.580	9.521	-24.719	24.536	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:53.407	6	-20.027	14.353	-59.380	7.751	-2.197	11.963	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:53.612	6	-22.080	14.053	-59.047	16.968	-0.183	-5.92	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:53.745	6	-23.880	14.053	-59.047	15.259	5.066	1.587	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:54.011	6	-25.027	13.393	-58.420	11.719	-9.521	22.339	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:54.212	6	-26.180	13.013	-58.327	-2.075	2.319	16.113	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:54.366	6	-26.827	12.413	-58.600	-6.47	-1.221	0.122	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:54.812	6	-26.793	11.780	-59.433	20.813	5.249	28.992	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:55.259	6	-27.140	10.893	-59.920	-3.662	4.7	-3.479	-0.6673	0.40765	-0.57812	-0.23279
2026-04-25 20:27:56.021	6	-25.513	11.427	-59.660	3.601	-0.305	7.263	-0.6673	0.40765	-0.57812	-0.23279
